Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (_muJ/K),Addenda HC Err (_muJ/K),Total HC (_muJ/K),Total HC Err (_muJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (_muJ/K)
41068197.84,,5905,,5.6182,0.065,0.0000091,5.4468535,0.1156843,5.0365421,0.00793,5.9484673,0.02162,42.974836,0.0583,3.7987066,9.0227146,0.053188485,94.925637,158.62649,0.08317,1,,,,0.0000049531297,18.047509,29.668213,0.92467002,0
41068275.03,,5905,,5.619,0.065,0.0000092,5.4469221,0.11588415,5.0219251,0.007982,5.948582,0.02162,42.867494,0.05868,2.0686508,8.9812499,0.053319279,94.900065,158.78224,0.08404,1,,,,0.0000049644335,18.045429,29.66896,0.92197485,0
41068475.52,,5905,,5.8245,0.065,0.0000091,5.6503666,0.11999258,5.0550795,0.008271,6.5779228,0.02407,43.74057,0.06081,16.595884,8.7762887,0.056694395,94.817676,164.35193,0.08954,1,,,,0.0000051819096,17.9625,31.926643,0.89464628,0
41068552.34,,5905,,5.8252,0.065,0.0000091,5.6501091,0.1198173,5.0689692,0.008369,6.5773079,0.02407,43.842066,0.06153,3.6700766,8.8360525,0.056639394,94.847971,164.19419,0.09027,1,,,,0.0000051577457,17.552577,31.923733,0.89714536,0
41068629.63,,5905,,5.8249,0.065,0.0000091,5.6504545,0.12003339,5.0647364,0.008042,6.5782019,0.02407,43.811842,0.05912,8.9997779,8.7812629,0.056160909,94.863637,164.24996,0.08684,1,,,,0.0000051856567,17.672105,31.927636,0.89634142,0
41068829.34,,5905,,6.0268,0.065,0.0000091,5.8549677,0.12411193,5.116298,0.00903,7.2504812,0.0257,44.863179,0.06639,27.264643,8.6743855,0.061154015,94.673715,169.62117,0.09968,1,,,,0.0000053779445,17.562526,34.280647,0.87383881,0
41068906.88,,5905,,6.0276,0.065,0.0000092,5.8558328,0.12463203,5.075684,0.008758,7.2527258,0.0257,44.566848,0.06439,5.038321,8.5295859,0.059532613,94.759497,170.09752,0.09773,1,,,,0.0000054290132,17.348771,34.290778,0.86677406,0
41068981.83,,5905,,6.028,0.065,0.0000091,5.8543343,0.1229925,5.1229306,0.009617,7.2505078,0.0257,44.911965,0.0707,1.5395438,8.6332715,0.060142487,94.733594,169.5296,0.1059,1,,,,0.0000054070393,17.059172,34.27323,0.87506629,0
41069181.42,,5905,,6.231,0.065,0.0000091,6.0602339,0.12851443,5.1521364,0.00893,7.9661739,0.02687,45.842339,0.06565,13.015473,8.4548012,0.063163126,94.685393,175.1598,0.1011,1,,,,0.000005631427,17.266543,36.726435,0.85015471,0
41069255.5,,5905,,6.2307,0.065,0.0000091,6.0596886,0.12808561,5.1561009,0.009113,7.9671684,0.02688,45.872479,0.06699,9.7013613,8.4443142,0.063287735,94.665506,175.09914,0.103,1,,,,0.0000056430097,16.909602,36.719827,0.85088545,0
41069329.22,,5905,,6.2335,0.065,0.0000091,6.0597825,0.12820027,5.1505944,0.009517,7.9674979,0.02688,45.832328,0.06996,18.149381,8.4340322,0.063358231,94.656876,175.16423,0.1078,1,,,,0.0000056452266,16.888628,36.720964,0.84996358,0
41069524.91,,5905,,6.4369,0.065,0.0000091,6.2637743,0.13210112,5.2227716,0.009638,8.720985,0.02837,47.116429,0.07085,2.8042571,8.3532561,0.066639955,94.606885,180.22288,0.1107,1,,,,0.0000058557945,16.868064,39.234869,0.83380585,0
41069599.06,,5905,,6.4363,0.065,0.0000091,6.264309,0.13278673,5.2164135,0.01038,8.7233381,0.02837,47.07204,0.07632,1.7390695,8.3403744,0.068132938,94.480165,180.31146,0.1195,1,,,,0.0000058645954,16.706512,39.241567,0.83271971,0
41069673.13,,5905,,6.4363,0.065,0.0000091,6.2643346,0.13298726,5.2056321,0.0101,8.7234592,0.02837,46.9929,0.07425,2.120421,8.3385991,0.067546243,94.535201,180.4366,0.1166,1,,,,0.0000058534728,16.680749,39.241888,0.83099521,0
41069869.58,,5905,,6.6387,0.065,0.0000091,6.4691271,0.13638659,5.2666605,0.0102,9.5207284,0.03097,48.238823,0.07497,7.3431318,8.1638538,0.070063807,94.485388,185.61287,0.1196,1,,,,0.0000061329972,16.677198,41.849606,0.81412228,0
41069943.23,,5905,,6.6387,0.065,0.0000091,6.469026,0.1363572,5.2682558,0.01005,9.5204409,0.03097,48.250263,0.07389,25.353172,8.1794308,0.07039302,94.468527,185.59123,0.1179,1,,,,0.0000061235288,16.327708,41.848297,0.8143816,0
41070016.61,,5905,,6.6402,0.065,0.0000091,6.4692619,0.13634089,5.267267,0.01001,9.5211309,0.03097,48.243684,0.07356,23.196728,8.152249,0.069553541,94.518144,185.60961,0.1174,1,,,,0.0000061409297,16.358862,41.85135,0.81419906,0
41070212.02,,5905,,6.8453,0.065,0.000009,6.6738906,0.13983746,5.3283939,0.01077,10.359568,0.0352,49.531499,0.07917,22.455849,8.0670052,0.073801924,94.379933,190.74558,0.1283,1,,,,0.0000063708769,16.304498,44.540816,0.79839395,0
41070284.16,,5905,,6.8453,0.065,0.0000092,6.6748708,0.14031542,5.3294086,0.01088,10.367858,0.03525,49.547248,0.08001,38.824995,8.0455412,0.073413411,94.396998,190.76148,0.1297,1,,,,0.0000063890946,16.13401,44.5539,0.79842874,0
41070355.22,,5905,,6.8423,0.065,0.0000091,6.6741455,0.14037914,5.32627,0.01134,10.364964,0.03523,49.52128,0.08336,19.788042,8.0588842,0.073619681,94.391523,190.77821,0.1352,1,,,,0.0000063753843,16.091082,44.544218,0.79804523,0
41070549.55,,5905,,7.0483,0.065,0.0000091,6.8790765,0.14375938,5.402044,0.01201,11.243128,0.04051,50.9565,0.08833,11.456817,7.9972786,0.077623346,94.274704,195.71236,0.1449,1,,,,0.0000066091564,16.117768,47.321693,0.78528622,0
41070621.03,,5905,,7.0461,0.065,0.0000091,6.8797051,0.14488108,5.386364,0.0119,11.24593,0.04053,50.844031,0.08746,10.73303,7.9459557,0.076560506,94.328038,195.91999,0.144,1,,,,0.0000066344611,15.994557,47.330342,0.78293531,0
41070692.7,,5905,,7.0464,0.065,0.0000091,6.8786517,0.14435651,5.4016174,0.01222,11.241811,0.04051,50.952048,0.08987,14.47205,8.0178198,0.078443102,94.228172,195.70543,0.1474,1,,,,0.0000065937148,15.891911,47.315849,0.7852727,0
41070885.16,,5905,,7.2528,0.065,0.0000091,7.0839605,0.14809773,5.4693804,0.01264,12.155627,0.04594,52.364026,0.09291,40.552748,7.9144835,0.081193022,94.172971,200.71088,0.1544,1,,,,0.0000068602017,16.03564,50.182497,0.77207946,0
41070957.13,,5905,,7.2526,0.065,0.0000091,7.0843963,0.14834598,5.4766901,0.01235,12.15769,0.04595,52.419826,0.09081,18.909088,7.9093256,0.081184106,94.165842,200.63388,0.1506,1,,,,0.0000068724421,15.828967,50.188671,0.77306377,0
41071028.36,,5905,,7.2522,0.065,0.0000091,7.0838918,0.14834277,5.4797188,0.01257,12.15544,0.04594,52.439842,0.0924,9.1159117,7.9136577,0.081115845,94.171576,200.58263,0.1531,1,,,,0.0000068711272,15.818651,50.181524,0.77354636,0
41071221.33,,5905,,7.4556,0.065,0.0000091,7.2872205,0.15109824,5.5584062,0.01309,13.090421,0.05058,53.953298,0.09626,10.294217,7.8458261,0.084230112,94.095194,205.36163,0.161,1,,,,0.0000071270097,15.827315,53.103583,0.7627608,0
41071291.61,,5905,,7.4552,0.065,0.0000091,7.287225,0.15179735,5.584828,0.01302,13.091185,0.05059,54.148302,0.09573,3.6526627,7.8870079,0.083990238,94.128086,205.03739,0.1591,1,,,,0.0000071144834,15.691652,53.103648,0.76638611,0
41071362.75,,5905,,7.4559,0.065,0.0000091,7.2878375,0.15241364,5.5376759,0.01334,13.093455,0.0506,53.803932,0.0981,25.723926,7.7883542,0.08413806,94.070713,205.63498,0.1649,1,,,,0.000007160365,15.774016,53.112575,0.75985173,0
41071555.41,,5905,,7.6604,0.065,0.0000091,7.4918889,0.15388517,5.6442458,0.01395,14.060149,0.05423,55.55408,0.1025,15.655225,7.8003794,0.08805898,93.974304,210.05362,0.1727,1,,,,0.0000073797494,15.576708,56.128399,0.75338088,0
41071626.44,,5905,,7.6563,0.065,0.0000091,7.4926561,0.15563436,5.6397657,0.01398,14.064576,0.05425,55.525571,0.1028,51.966612,7.7833693,0.087509602,94.002637,210.13074,0.1734,1,,,,0.0000073906333,15.600759,56.139895,0.75270581,0
41071696.55,,5905,,7.6575,0.065,0.0000091,7.4923258,0.15524001,5.6466787,0.0141,14.063177,0.05424,55.574993,0.1036,25.277363,7.8077382,0.089292198,93.894077,210.0357,0.1745,1,,,,0.0000073792932,15.566739,56.134946,0.75366166,0
41071887.91,,5905,,7.864,0.065,0.000009,7.6957492,0.15812876,5.7410754,0.0144,15.056126,0.05743,57.261903,0.1058,22.922941,7.7893639,0.092272466,93.842411,214.5494,0.1791,1,,,,0.0000076166022,15.615476,59.224556,0.74600604,0
41071958.11,,5905,,7.8604,0.065,0.0000091,7.6964334,0.15934263,5.7395592,0.01445,15.059853,0.05744,57.254483,0.1062,45.71511,7.7625217,0.091535341,93.872362,214.58737,0.1797,1,,,,0.0000076404833,15.578728,59.235087,0.74574272,0
41072028.52,,5905,,7.8651,0.065,0.0000091,7.696185,0.15881667,5.7420972,0.01444,15.057875,0.05743,57.271164,0.1061,4.4784761,7.7285709,0.090331944,93.925072,214.54882,0.1795,1,,,,0.0000076738969,15.525043,59.231264,0.74609657,0
41072219.67,,5905,,8.0667,0.065,0.0000091,7.9003391,0.16074944,5.8502085,0.01513,16.084166,0.06085,59.092241,0.1112,27.79278,7.747724,0.095260845,93.757673,218.87497,0.1884,1,,,,0.0000078995041,15.457142,62.415358,0.74050094,0
41072290.45,,5905,,8.0672,0.065,0.0000092,7.9013891,0.16255731,5.8520704,0.01504,16.090804,0.06088,59.112566,0.1106,31.172775,7.7688229,0.095424456,93.764276,218.88084,0.1872,1,,,,0.0000078804358,15.495448,62.43195,0.74063817,0
41072361.38,,5905,,8.0672,0.065,0.0000091,7.9013489,0.16283148,5.851356,0.01523,16.090585,0.06088,59.107095,0.1119,25.033127,7.7550592,0.095151012,93.7715,218.88863,0.1895,1,,,,0.0000078933353,15.537646,62.431315,0.74055152,0
41072553.97,,5905,,8.2719,0.065,0.0000091,8.1044449,0.1646268,5.9535232,0.01604,17.141451,0.06516,60.909048,0.1179,6.7997974,7.7323696,0.098846803,93.652475,223.22323,0.2002,1,,,,0.0000081565239,15.510118,65.682027,0.73459975,0
41072624.27,,5905,,8.2699,0.065,0.0000091,8.1052665,0.16600102,5.9779986,0.01567,17.147,0.06518,61.094529,0.1152,10.940966,7.7755925,0.097966729,93.733209,222.94077,0.1945,1,,,,0.0000081326323,15.464739,65.695346,0.73754497,0
41072694.67,,5905,,8.2704,0.065,0.0000091,8.1054982,0.16647014,5.9657969,0.01557,17.147902,0.06519,61.00573,0.1145,58.921198,7.7300235,0.097248918,93.748788,223.09904,0.1938,1,,,,0.0000081676204,15.551185,65.699101,0.73601854,0
41072886.11,,5905,,8.4751,0.065,0.0000091,8.3092391,0.16780815,6.0934838,0.01684,18.234581,0.07068,63.031105,0.1238,31.000751,7.7762925,0.10300066,93.540127,227.0981,0.2089,1,,,,0.0000083922184,15.460047,69.043455,0.73333836,0
41072956.42,,5905,,8.4765,0.065,0.0000091,8.3109222,0.17010199,6.0872479,0.01639,18.244665,0.07074,62.995345,0.1205,45.36328,7.7532974,0.10148604,93.621261,227.22164,0.2035,1,,,,0.0000084081711,15.552585,69.071428,0.73243953,0
41073027.09,,5905,,8.4749,0.065,0.0000091,8.3107927,0.16984991,6.0952636,0.0166,18.244201,0.07074,63.053809,0.122,51.272031,7.7755353,0.10267705,93.560594,227.11845,0.2058,1,,,,0.0000083950361,15.506595,69.069275,0.73341543,0
41073221.2,,5905,,8.6788,0.065,0.0000092,8.5138386,0.17170315,6.2301512,0.01753,19.360455,0.077,65.161695,0.1289,39.857033,7.7918144,0.10585585,93.486346,230.9759,0.2163,1,,,,0.0000086548173,15.551071,72.485448,0.7317676,0
